rank,title,year,citations,authors,venue,doi,domains,source_api,link,score
68,Particle Swarm Optimization: A Comprehensive Survey,2022,1334,Tareq M. Shami; Ayman A. El-Saleh; Mohammed Alswaitti; Qasem Al-Tashi; Mhd Amen Summakieh; Seyedali Mirjalili,IEEE Access,10.1109/access.2022.3142859,combinatorial_optimization|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|inventory_supply_chain|queuing_simulation,crossref,https://doi.org/10.1109/access.2022.3142859,7.609
69,Ant system: optimization by a colony of cooperating agents,1996,8870,M. Dorigo; V. Maniezzo; A. Colorni,"IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics)",10.1109/3477.484436,combinatorial_optimization|stochastic_or|dynamic_programming|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|ml_or_hybrid,crossref,https://doi.org/10.1109/3477.484436,7.608
70,The empirical mode decomposition and the Hilbert spectrum for nonlinear and non-stationary time series analysis,1998,19781,Norden E. Huang; Zheng Shen; Steven R. Long; Manli C. Wu; Hsing H. Shih; Quanan Zheng; Nai-Chyuan Yen; Chi Chao Tung; Henry H. Liu,"Proceedings of the Royal Society of London. Series A: Mathematical, Physical and Engineering Sciences",10.1098/rspa.1998.0193,tsp_routing|nonlinear_convex|column_generation_decomp,crossref,https://doi.org/10.1098/rspa.1998.0193,7.597
71,Dynamic programming algorithm optimization for spoken word recognition,1978,5218,H. Sakoe; S. Chiba,"IEEE Transactions on Acoustics, Speech, and Signal Processing",10.1109/tassp.1978.1163055,linear_programming|integer_programming|combinatorial_optimization|network_flows|stochastic_or|dynamic_programming|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|constraint_programming|graph_or|cutting_packing|ml_or_hybrid|or_foundations_survey,crossref,https://doi.org/10.1109/tassp.1978.1163055,7.595
72,Decoding by Linear Programming,2005,5425,E.J. Candes; T. Tao,IEEE Transactions on Information Theory,10.1109/tit.2005.858979,linear_programming|integer_programming|stochastic_or|dynamic_programming|nonlinear_convex|multiobjective|game_theory_or|queuing_simulation|constraint_programming|or_foundations_survey,crossref,https://doi.org/10.1109/tit.2005.858979,7.582
73,"RAxML-NG: a fast, scalable and user-friendly tool for maximum likelihood phylogenetic inference",2019,4105,Alexey M Kozlov; Diego Darriba; Tomáš Flouri; Benoit Morel; Alexandros Stamatakis,Bioinformatics,10.1093/bioinformatics/btz305,network_flows|graph_or,crossref,https://doi.org/10.1093/bioinformatics/btz305,7.581
74,CD-HIT: accelerated for clustering the next-generation sequencing data,2012,10520,Limin Fu; Beifang Niu; Zhengwei Zhu; Sitao Wu; Weizhong Li,Bioinformatics,10.1093/bioinformatics/bts565,column_generation_decomp,crossref,https://doi.org/10.1093/bioinformatics/bts565,7.577
75,African vultures optimization algorithm: A new nature-inspired metaheuristic algorithm for global optimization problems,2021,1345,Benyamin Abdollahzadeh; Farhad Soleimanian Gharehchopogh; Seyedali Mirjalili,Computers &amp; Industrial Engineering,10.1016/j.cie.2021.107408,combinatorial_optimization|network_flows|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|inventory_supply_chain|queuing_simulation|graph_or|cutting_packing,crossref,https://doi.org/10.1016/j.cie.2021.107408,7.571
76,STRUCTURE HARVESTER: a website and program for visualizing STRUCTURE output and implementing the Evanno method,2012,10418,Dent A. Earl; Bridgett M. vonHoldt,Conservation Genetics Resources,10.1007/s12686-011-9548-7,linear_programming,crossref,https://doi.org/10.1007/s12686-011-9548-7,7.569
77,Ant colony optimization,2006,4880,Marco Dorigo; Mauro Birattari; Thomas Stutzle,IEEE Computational Intelligence Magazine,10.1109/mci.2006.329691,combinatorial_optimization|stochastic_or|dynamic_programming|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|ml_or_hybrid,crossref,https://doi.org/10.1109/mci.2006.329691,7.550
78,Survey of multi-objective optimization methods for engineering,2004,3822,R.T. Marler; J.S. Arora,Structural and Multidisciplinary Optimization,10.1007/s00158-003-0368-6,combinatorial_optimization|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|or_foundations_survey,crossref,https://doi.org/10.1007/s00158-003-0368-6,7.538
79,Measuring the efficiency of decision making units,1978,21790,A. Charnes; W.W. Cooper; E. Rhodes,European Journal of Operational Research,10.1016/0377-2217(78)90138-8,dynamic_programming|or_foundations_survey,crossref,https://doi.org/10.1016/0377-2217(78)90138-8,7.491
80,Particle swarm optimization,2007,4096,Riccardo Poli; James Kennedy; Tim Blackwell,Swarm Intelligence,10.1007/s11721-007-0002-0,combinatorial_optimization|stochastic_or|dynamic_programming|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|ml_or_hybrid,crossref,https://doi.org/10.1007/s11721-007-0002-0,7.468
81,Muiltiobjective Optimization Using Nondominated Sorting in Genetic Algorithms,1994,5686,N. Srinivas; Kalyanmoy Deb,Evolutionary Computation,10.1162/evco.1994.2.3.221,combinatorial_optimization|stochastic_or|dynamic_programming|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|ml_or_hybrid,crossref,https://doi.org/10.1162/evco.1994.2.3.221,7.460
82,Marine Predators Algorithm: A nature-inspired metaheuristic,2020,2243,Afshin Faramarzi; Mohammad Heidarinejad; Seyedali Mirjalili; Amir H. Gandomi,Expert Systems with Applications,10.1016/j.eswa.2020.113377,network_flows|nonlinear_convex|graph_or|cutting_packing,crossref,https://doi.org/10.1016/j.eswa.2020.113377,7.458
83,Machine learning for combinatorial optimization: A methodological tour d’horizon,2021,1146,Yoshua Bengio; Andrea Lodi; Antoine Prouvost,European Journal of Operational Research,10.1016/j.ejor.2020.07.063,combinatorial_optimization|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|ml_or_hybrid,crossref,https://doi.org/10.1016/j.ejor.2020.07.063,7.430
84,Honey Badger Algorithm: New metaheuristic algorithm for solving optimization problems,2022,1230,Fatma A. Hashim; Essam H. Houssein; Kashif Hussain; Mai S. Mabrouk; Walid Al-Atabany,Mathematics and Computers in Simulation,10.1016/j.matcom.2021.08.013,combinatorial_optimization|network_flows|nonlinear_convex|metaheuristics|multiobjective|queuing_simulation|graph_or|cutting_packing,crossref,https://doi.org/10.1016/j.matcom.2021.08.013,7.427
85,A theory for multiresolution signal decomposition: the wavelet representation,1989,16390,S.G. Mallat,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/34.192463,scheduling|game_theory_or|queuing_simulation|column_generation_decomp|ml_or_hybrid,crossref,https://doi.org/10.1109/34.192463,7.414
86,LSST: From Science Drivers to Reference Design and Anticipated Data Products,2019,3487,Željko Ivezić; Steven M. Kahn; J. Anthony Tyson; Bob Abel; Emily Acosta; Robyn Allsman; David Alonso; Yusra AlSayyad; Scott F. Anderson; John Andrew; James Roger P. Angel; George Z. Angeli,The Astrophysical Journal,10.3847/1538-4357/ab042c,game_theory_or,crossref,https://doi.org/10.3847/1538-4357/ab042c,7.413
87,Butterfly optimization algorithm: a novel approach for global optimization,2019,1584,Sankalap Arora; Satvir Singh,Soft Computing,10.1007/s00500-018-3102-4,combinatorial_optimization|network_flows|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|inventory_supply_chain|queuing_simulation|graph_or|cutting_packing,crossref,https://doi.org/10.1007/s00500-018-3102-4,7.407
88,Blockchain technology and its relationships to sustainable supply chain management,2019,3423,Sara Saberi; Mahtab Kouhizadeh; Joseph Sarkis; Lejia Shen,International Journal of Production Research,10.1080/00207543.2018.1533261,inventory_supply_chain,crossref,https://doi.org/10.1080/00207543.2018.1533261,7.398
89,Differential Evolution Algorithm With Strategy Adaptation for Global Numerical Optimization,2009,3236,A.K. Qin; V.L. Huang; P.N. Suganthan,IEEE Transactions on Evolutionary Computation,10.1109/tevc.2008.927706,combinatorial_optimization|network_flows|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|inventory_supply_chain|queuing_simulation|graph_or|cutting_packing,crossref,https://doi.org/10.1109/tevc.2008.927706,7.394
90,Energy-Efficient UAV Communication With Trajectory Optimization,2017,2040,Yong Zeng; Rui Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2017.2688328,combinatorial_optimization|stochastic_or|dynamic_programming|nonlinear_convex|metaheuristics|multiobjective|inventory_supply_chain|queuing_simulation,crossref,https://doi.org/10.1109/twc.2017.2688328,7.389
91,Fast model-based estimation of ancestry in unrelated individuals,2009,9327,David H. Alexander; John Novembre; Kenneth Lange,Genome Research,10.1101/gr.094052.109,inventory_supply_chain|constraint_programming,crossref,https://doi.org/10.1101/gr.094052.109,7.385
92,ENSEMBLE EMPIRICAL MODE DECOMPOSITION: A NOISE-ASSISTED DATA ANALYSIS METHOD,2009,7716,ZHAOHUA WU; NORDEN E. HUANG,Advances in Adaptive Data Analysis,10.1142/s1793536909000047,linear_programming|column_generation_decomp,crossref,https://doi.org/10.1142/s1793536909000047,7.384
93,MapReduce,2008,11386,Jeffrey Dean; Sanjay Ghemawat,Communications of the ACM,10.1145/1327452.1327492,metaheuristics,crossref,https://doi.org/10.1145/1327452.1327492,7.376
94,Grasshopper Optimisation Algorithm: Theory and application,2017,2524,Shahrzad Saremi; Seyedali Mirjalili; Andrew Lewis,Advances in Engineering Software,10.1016/j.advengsoft.2017.01.004,network_flows|nonlinear_convex|game_theory_or|queuing_simulation|graph_or|cutting_packing,crossref,https://doi.org/10.1016/j.advengsoft.2017.01.004,7.363
95,Optimization of parameters for semiempirical methods I. Method,1989,6859,James J. P. Stewart,Journal of Computational Chemistry,10.1002/jcc.540100208,linear_programming|combinatorial_optimization|stochastic_or|dynamic_programming|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|ml_or_hybrid,crossref,https://doi.org/10.1002/jcc.540100208,7.361
96,Optimization of conditional value-at-risk,2000,5185,R. Tyrrell Rockafellar; Stanislav Uryasev,The Journal of Risk,10.21314/jor.2000.038,combinatorial_optimization|stochastic_or|dynamic_programming|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|ml_or_hybrid,crossref,https://doi.org/10.21314/jor.2000.038,7.359
97,OSQP: an operator splitting solver for quadratic programs,2020,1034,Bartolomeo Stellato; Goran Banjac; Paul Goulart; Alberto Bemporad; Stephen Boyd,Mathematical Programming Computation,10.1007/s12532-020-00179-2,linear_programming|integer_programming|stochastic_or|dynamic_programming|nonlinear_convex|multiobjective|constraint_programming,crossref,https://doi.org/10.1007/s12532-020-00179-2,7.323
98,"A general reinforcement learning algorithm that masters chess, shogi, and Go through self-play",2018,2630,David Silver; Thomas Hubert; Julian Schrittwieser; Ioannis Antonoglou; Matthew Lai; Arthur Guez; Marc Lanctot; Laurent Sifre; Dharshan Kumaran; Thore Graepel; Timothy Lillicrap; Karen Simonyan,Science,10.1126/science.aar6404,network_flows|nonlinear_convex|graph_or|cutting_packing,crossref,https://doi.org/10.1126/science.aar6404,7.296
99,Epigenetic programming by maternal behavior,2004,4974,Ian C G Weaver; Nadia Cervoni; Frances A Champagne; Ana C D'Alessio; Shakti Sharma; Jonathan R Seckl; Sergiy Dymov; Moshe Szyf; Michael J Meaney,Nature Neuroscience,10.1038/nn1276,linear_programming|integer_programming|stochastic_or|dynamic_programming|nonlinear_convex|multiobjective|constraint_programming|or_foundations_survey,crossref,https://doi.org/10.1038/nn1276,7.277
100,Optimized sgRNA design to maximize activity and minimize off-target effects of CRISPR-Cas9,2016,4630,John G Doench; Nicolo Fusi; Meagan Sullender; Mudra Hegde; Emma W Vaimberg; Katherine F Donovan; Ian Smith; Zuzana Tothova; Craig Wilen; Robert Orchard; Herbert W Virgin; Jennifer Listgarten,Nature Biotechnology,10.1038/nbt.3437,game_theory_or,crossref,https://doi.org/10.1038/nbt.3437,7.263
101,Semidefinite Relaxation of Quadratic Optimization Problems,2010,3428,Zhi-quan Luo; Wing-kin Ma; Anthony So; Yinyu Ye; Shuzhong Zhang,IEEE Signal Processing Magazine,10.1109/msp.2010.936019,combinatorial_optimization|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|inventory_supply_chain|queuing_simulation,crossref,https://doi.org/10.1109/msp.2010.936019,7.262
102,Multi-objective grey wolf optimizer: A novel algorithm for multi-criterion optimization,2016,1694,Seyedali Mirjalili; Shahrzad Saremi; Seyed Mohammad Mirjalili; Leandro dos S. Coelho,Expert Systems with Applications,10.1016/j.eswa.2015.10.039,combinatorial_optimization|network_flows|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|inventory_supply_chain|queuing_simulation|graph_or|cutting_packing,crossref,https://doi.org/10.1016/j.eswa.2015.10.039,7.251
103,Systematic optimization of long-range corrected hybrid density functionals,2008,3743,Jeng-Da Chai; Martin Head-Gordon,The Journal of Chemical Physics,10.1063/1.2834918,combinatorial_optimization|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation,crossref,https://doi.org/10.1063/1.2834918,7.251
104,Biogeography-Based Optimization,2008,3741,D. Simon,IEEE Transactions on Evolutionary Computation,10.1109/tevc.2008.919004,combinatorial_optimization|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation,crossref,https://doi.org/10.1109/tevc.2008.919004,7.251
105,Non-fullerene acceptors with branched side chains and improved molecular packing to exceed 18% efficiency in organic solar cells,2021,2145,Chao Li; Jiadong Zhou; Jiali Song; Jinqiu Xu; Huotian Zhang; Xuning Zhang; Jing Guo; Lei Zhu; Donghui Wei; Guangchao Han; Jie Min; Yuan Zhang,Nature Energy,10.1038/s41560-021-00820-x,cutting_packing,crossref,https://doi.org/10.1038/s41560-021-00820-x,7.250
106,Machine Learning for Fluid Mechanics,2020,2680,Steven L. Brunton; Bernd R. Noack; Petros Koumoutsakos,Annual Review of Fluid Mechanics,10.1146/annurev-fluid-010719-060214,scheduling,crossref,https://doi.org/10.1146/annurev-fluid-010719-060214,7.242
107,Efficacy of Pembrolizumab in Patients With Noncolorectal High Microsatellite Instability/Mismatch Repair–Deficient Cancer: Results From the Phase II KEYNOTE-158 Study,2020,2672,Aurelien Marabelle; Dung T. Le; Paolo A. Ascierto; Anna Maria Di Giacomo; Ana De Jesus-Acosta; Jean-Pierre Delord; Ravit Geva; Maya Gottfried; Nicolas Penel; Aaron R. Hansen; Sarina A. Piha-Paul; Toshihiko Doi,Journal of Clinical Oncology,10.1200/jco.19.02105,multiobjective,crossref,https://doi.org/10.1200/jco.19.02105,7.239
108,CHARMM‐GUI: A web‐based graphical user interface for CHARMM,2008,9358,Sunhwan Jo; Taehoon Kim; Vidyashankara G. Iyer; Wonpil Im,Journal of Computational Chemistry,10.1002/jcc.20945,constraint_programming,crossref,https://doi.org/10.1002/jcc.20945,7.230
109,Probabilistic programming in Python using PyMC3,2016,2096,John Salvatier; Thomas V. Wiecki; Christopher Fonnesbeck,PeerJ Computer Science,10.7717/peerj-cs.55,linear_programming|integer_programming|stochastic_or|dynamic_programming|nonlinear_convex|multiobjective|constraint_programming,crossref,https://doi.org/10.7717/peerj-cs.55,7.223
110,Understanding and Mitigating Gradient Flow Pathologies in Physics-Informed Neural Networks,2021,1731,Sifan Wang; Yujun Teng; Paris Perdikaris,SIAM Journal on Scientific Computing,10.1137/20m1318043,network_flows,crossref,https://doi.org/10.1137/20m1318043,7.222
111,"Dragonfly algorithm: a new meta-heuristic optimization technique for solving single-objective, discrete, and multi-objective problems",2016,2455,Seyedali Mirjalili,Neural Computing and Applications,10.1007/s00521-015-1920-1,combinatorial_optimization|nonlinear_convex|metaheuristics|multiobjective|queuing_simulation,crossref,https://doi.org/10.1007/s00521-015-1920-1,7.221
112,Multi-Verse Optimizer: a nature-inspired algorithm for global optimization,2016,2665,Seyedali Mirjalili; Seyed Mohammad Mirjalili; Abdolreza Hatamlou,Neural Computing and Applications,10.1007/s00521-015-1870-7,combinatorial_optimization|stochastic_or|nonlinear_convex|metaheuristics|multiobjective,crossref,https://doi.org/10.1007/s00521-015-1870-7,7.217
113,CHARMM: The biomolecular simulation program,2009,8439,B. R. Brooks; C. L. Brooks; A. D. Mackerell; L. Nilsson; R. J. Petrella; B. Roux; Y. Won; G. Archontis; C. Bartels; S. Boresch; A. Caflisch; L. Caves,Journal of Computational Chemistry,10.1002/jcc.21287,queuing_simulation,crossref,https://doi.org/10.1002/jcc.21287,7.211
114,Cd-hit: a fast program for clustering and comparing large sets of protein or nucleotide sequences,2006,10512,Weizhong Li; Adam Godzik,Bioinformatics,10.1093/bioinformatics/btl158,metaheuristics,crossref,https://doi.org/10.1093/bioinformatics/btl158,7.210
115,"The promising future of microalgae: current status, challenges, and optimization of a sustainable and renewable industry for biofuels, feed, and other products",2018,1793,Muhammad Imran Khan; Jin Hyuk Shin; Jong Deog Kim,Microbial Cell Factories,10.1186/s12934-018-0879-x,combinatorial_optimization|stochastic_or|dynamic_programming|nonlinear_convex|metaheuristics|multiobjective|inventory_supply_chain|queuing_simulation,crossref,https://doi.org/10.1186/s12934-018-0879-x,7.208
116,Multi-objective optimization using genetic algorithms: A tutorial,2006,2835,Abdullah Konak; David W. Coit; Alice E. Smith,Reliability Engineering &amp; System Safety,10.1016/j.ress.2005.11.018,combinatorial_optimization|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|inventory_supply_chain|queuing_simulation,crossref,https://doi.org/10.1016/j.ress.2005.11.018,7.204
117,Handling multiple objectives with particle swarm optimization,2004,3903,C.A.C. Coello; G.T. Pulido; M.S. Lechuga,IEEE Transactions on Evolutionary Computation,10.1109/tevc.2004.826067,combinatorial_optimization|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|ml_or_hybrid,crossref,https://doi.org/10.1109/tevc.2004.826067,7.203
118,"An overview of clinical decision support systems: benefits, risks, and strategies for success",2020,2495,Reed T. Sutton; David Pincock; Daniel C. Baumgart; Daniel C. Sadowski; Richard N. Fedorak; Karen I. Kroeker,npj Digital Medicine,10.1038/s41746-020-0221-y,dynamic_programming,crossref,https://doi.org/10.1038/s41746-020-0221-y,7.180
119,Optimal shape design as a material distribution problem,1989,3838,M. P. Bendsøe,Structural Optimization,10.1007/bf01650949,combinatorial_optimization|tsp_routing|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|constraint_programming|graph_or|cutting_packing|ml_or_hybrid,crossref,https://doi.org/10.1007/bf01650949,7.173
120,The Impact of Enhancing Students’ Social and Emotional Learning: A Meta-Analysis of School-Based Universal Interventions,2011,5884,Joseph A Durlak; Roger P Weissberg; Allison B Dymnicki; Rebecca D Taylor; Kriston B Schellinger,Child Development,10.1111/j.1467-8624.2010.01564.x,constraint_programming|ml_or_hybrid,crossref,https://doi.org/10.1111/j.1467-8624.2010.01564.x,7.162
121,A Reference Vector Guided Evolutionary Algorithm for Many-Objective Optimization,2016,1634,Ran Cheng; Yaochu Jin; Markus Olhofer; Bernhard Sendhoff,IEEE Transactions on Evolutionary Computation,10.1109/tevc.2016.2519378,combinatorial_optimization|network_flows|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|inventory_supply_chain|queuing_simulation|graph_or|cutting_packing,crossref,https://doi.org/10.1109/tevc.2016.2519378,7.152
122,tRNAscan-SE: A Program for Improved Detection of Transfer RNA Genes in Genomic Sequence,1997,16089,Todd M. Lowe; Sean R. Eddy,Nucleic Acids Research,10.1093/nar/25.5.955,or_foundations_survey,crossref,https://doi.org/10.1093/nar/25.5.955,7.150
123,Reptile Search Algorithm (RSA): A nature-inspired meta-heuristic optimizer,2022,1357,Laith Abualigah; Mohamed Abd Elaziz; Putra Sumari; Zong Woo Geem; Amir H. Gandomi,Expert Systems with Applications,10.1016/j.eswa.2021.116158,network_flows|nonlinear_convex|metaheuristics|graph_or|cutting_packing,crossref,https://doi.org/10.1016/j.eswa.2021.116158,7.145
124,Clustered Federated Learning: Model-Agnostic Distributed Multitask Optimization Under Privacy Constraints,2021,1122,Felix Sattler; Klaus-Robert Muller; Wojciech Samek,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2020.3015958,combinatorial_optimization|nonlinear_convex|metaheuristics|multiobjective,crossref,https://doi.org/10.1109/tnnls.2020.3015958,7.142
125,Attention Based Spatial-Temporal Graph Convolutional Networks for Traffic Flow Forecasting,2019,2432,Shengnan Guo; Youfang Lin; Ning Feng; Chao Song; Huaiyu Wan,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v33i01.3301922,network_flows|graph_or,crossref,https://doi.org/10.1609/aaai.v33i01.3301922,7.139
126,Exact Matrix Completion via Convex Optimization,2009,3436,Emmanuel J. Candès; Benjamin Recht,Foundations of Computational Mathematics,10.1007/s10208-009-9045-5,combinatorial_optimization|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|inventory_supply_chain|queuing_simulation,crossref,https://doi.org/10.1007/s10208-009-9045-5,7.139
127,Fractional Programming for Communication Systems—Part I: Power Control and Beamforming,2018,1845,Kaiming Shen; Wei Yu,IEEE Transactions on Signal Processing,10.1109/tsp.2018.2812733,linear_programming|integer_programming|stochastic_or|dynamic_programming|nonlinear_convex|multiobjective|constraint_programming,crossref,https://doi.org/10.1109/tsp.2018.2812733,7.132
128,"Necroptosis, pyroptosis and apoptosis: an intricate game of cell death",2021,2021,Damien Bertheloot; Eicke Latz; Bernardo S. Franklin,Cellular &amp; Molecular Immunology,10.1038/s41423-020-00630-3,game_theory_or,crossref,https://doi.org/10.1038/s41423-020-00630-3,7.128
129,The atomic simulation environment—a Python library for working with atoms,2017,3464,Ask Hjorth Larsen; Jens Jørgen Mortensen; Jakob Blomqvist; Ivano E Castelli; Rune Christensen; Marcin Dułak; Jesper Friis; Michael N Groves; Bjørk Hammer; Cory Hargus; Eric D Hermes; Paul C Jennings,Journal of Physics: Condensed Matter,10.1088/1361-648x/aa680e,queuing_simulation,crossref,https://doi.org/10.1088/1361-648x/aa680e,7.122
130,From a literature review to a conceptual framework for sustainable supply chain management,2008,4829,Stefan Seuring; Martin Müller,Journal of Cleaner Production,10.1016/j.jclepro.2008.04.020,inventory_supply_chain,crossref,https://doi.org/10.1016/j.jclepro.2008.04.020,7.090
131,Distributed Subgradient Methods for Multi-Agent Optimization,2009,3180,Angelia Nedic; Asuman Ozdaglar,IEEE Transactions on Automatic Control,10.1109/tac.2008.2009515,combinatorial_optimization|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|inventory_supply_chain|queuing_simulation,crossref,https://doi.org/10.1109/tac.2008.2009515,7.081
132,Dynamic mode decomposition of numerical and experimental data,2010,5210,PETER J. SCHMID,Journal of Fluid Mechanics,10.1017/s0022112010001217,dynamic_programming|column_generation_decomp,crossref,https://doi.org/10.1017/s0022112010001217,7.078
133,MODELTEST: testing the model of DNA substitution.,1998,13462,D Posada; K A Crandall,Bioinformatics,10.1093/bioinformatics/14.9.817,inventory_supply_chain,crossref,https://doi.org/10.1093/bioinformatics/14.9.817,7.059
134,The Mythos of Model Interpretability,2018,2512,Zachary C. Lipton,Queue,10.1145/3236386.3241340,scheduling|inventory_supply_chain,crossref,https://doi.org/10.1145/3236386.3241340,7.058
135,Ant colony system: a cooperative learning approach to the traveling salesman problem,1997,6045,M. Dorigo; L.M. Gambardella,IEEE Transactions on Evolutionary Computation,10.1109/4235.585892,tsp_routing|inventory_supply_chain|constraint_programming|graph_or|cutting_packing|ml_or_hybrid,crossref,https://doi.org/10.1109/4235.585892,7.043
136,An Adaptive Large Neighborhood Search Heuristic for the Pickup and Delivery Problem with Time Windows,2006,2207,Stefan Ropke; David Pisinger,Transportation Science,10.1287/trsc.1050.0135,tsp_routing|metaheuristics|inventory_supply_chain|constraint_programming|graph_or|cutting_packing,crossref,https://doi.org/10.1287/trsc.1050.0135,7.041
137,The Byzantine Generals Problem,1982,4386,Leslie Lamport; Robert Shostak; Marshall Pease,ACM Transactions on Programming Languages and Systems,10.1145/357172.357176,linear_programming|integer_programming|tsp_routing|stochastic_or|dynamic_programming|nonlinear_convex|multiobjective|inventory_supply_chain|constraint_programming|graph_or|cutting_packing|or_foundations_survey,crossref,https://doi.org/10.1145/357172.357176,7.040
138,"A Paravascular Pathway Facilitates CSF Flow Through the Brain Parenchyma and the Clearance of Interstitial Solutes, Including Amyloid β",2012,5233,Jeffrey J. Iliff; Minghuan Wang; Yonghong Liao; Benjamin A. Plogg; Weiguo Peng; Georg A. Gundersen; Helene Benveniste; G. Edward Vates; Rashid Deane; Steven A. Goldman; Erlend A. Nagelhus; Maiken Nedergaard,Science Translational Medicine,10.1126/scitranslmed.3003748,network_flows,crossref,https://doi.org/10.1126/scitranslmed.3003748,7.039
139,The Amber biomolecular simulation programs,2005,8773,David A. Case; Thomas E. Cheatham; Tom Darden; Holger Gohlke; Ray Luo; Kenneth M. Merz; Alexey Onufriev; Carlos Simmerling; Bing Wang; Robert J. Woods,Journal of Computational Chemistry,10.1002/jcc.20290,queuing_simulation,crossref,https://doi.org/10.1002/jcc.20290,7.030
140,Polymorphic transitions in single crystals: A new molecular dynamics method,1981,19219,M. Parrinello; A. Rahman,Journal of Applied Physics,10.1063/1.328693,linear_programming,crossref,https://doi.org/10.1063/1.328693,7.030
141,z-Tree: Zurich toolbox for ready-made economic experiments,2007,7658,Urs Fischbacher,Experimental Economics,10.1007/s10683-006-9159-4,graph_or,crossref,https://doi.org/10.1007/s10683-006-9159-4,7.029
142,LOBSTER: A tool to extract chemical bonding from plane‐wave based DFT,2016,3463,Stefan Maintz; Volker L. Deringer; Andrei L. Tchougréeff; Richard Dronskowski,Journal of Computational Chemistry,10.1002/jcc.24300,constraint_programming,crossref,https://doi.org/10.1002/jcc.24300,7.028
143,Surrogate Gradient Learning in Spiking Neural Networks: Bringing the Power of Gradient-Based Optimization to Spiking Neural Networks,2019,1421,Emre O. Neftci; Hesham Mostafa; Friedemann Zenke,IEEE Signal Processing Magazine,10.1109/msp.2019.2931595,combinatorial_optimization|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|inventory_supply_chain|queuing_simulation,crossref,https://doi.org/10.1109/msp.2019.2931595,7.015
144,Optimization of parameters for semiempirical methods V: Modification of NDDO approximations and application to 70 elements,2007,3288,James J. P. Stewart,Journal of Molecular Modeling,10.1007/s00894-007-0233-4,combinatorial_optimization|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|inventory_supply_chain|queuing_simulation,crossref,https://doi.org/10.1007/s00894-007-0233-4,7.007
145,MUSCLE: a multiple sequence alignment method with reduced time and space complexity,2004,7802,Robert C Edgar,BMC Bioinformatics,10.1186/1471-2105-5-113,linear_programming|tsp_routing,crossref,https://doi.org/10.1186/1471-2105-5-113,7.001
146,The method of moving asymptotes—a new method for structural optimization,1987,4900,Krister Svanberg,International Journal for Numerical Methods in Engineering,10.1002/nme.1620240207,combinatorial_optimization|stochastic_or|dynamic_programming|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|ml_or_hybrid,crossref,https://doi.org/10.1002/nme.1620240207,6.998
147,Comprehensive learning particle swarm optimizer for global optimization of multimodal functions,2006,3347,J.J. Liang; A.K. Qin; P.N. Suganthan; S. Baskar,IEEE Transactions on Evolutionary Computation,10.1109/tevc.2005.857610,combinatorial_optimization|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|inventory_supply_chain|queuing_simulation,crossref,https://doi.org/10.1109/tevc.2005.857610,6.975
148,The CCP4 suite: programs for protein crystallography,1994,14099,"Collaborative Computational Project, Number 4",Acta Crystallographica Section D Biological Crystallography,10.1107/s0907444994003112,scheduling,crossref,https://doi.org/10.1107/s0907444994003112,6.969
